"state","highest_elev_raw","lowest_elev_raw","mean_elev_raw"
"Alabama","2,405 ft733 m","sea level","500 ft150 m"
"Alaska","20,310 ft6190.5 m","sea level","1,900 ft580 m"
"Arizona","12,637 ft3851.8 m","70 ft21 m","4,100 ft1250 m"
"Arkansas","2,753 ft839 m","55 ft17 m","650 ft200 m"
"California","14,505 ft4421.0 m","−282 ft−86 m","2,900 ft880 m"
"Colorado","14,440 ft4401.2 m","3,317 ft1011 m","6,800 ft2070 m"
"Connecticut","2,386 ft727 m","sea level","500 ft150 m"
"Delaware","449 ft137 m","sea level","60 ft20 m"
"Florida","345 ft105 m","sea level","100 ft30 m"
"Georgia","4,784 ft1458 m","sea level","600 ft180 m"
"Hawaii","13,803 ft4207.3 m","sea level","3,030 ft920 m"
"Idaho","12,668 ft3861.2 m","710 ft216 m","5,000 ft1520 m"
"Illinois","1,235 ft376.4 m","279 ft85 m","600 ft180 m"
"Indiana","1,257 ft383 m","320 ft98 m","795 ft242 m"
"Iowa","1,671 ft509 m","480 ft146 m","1,100 ft340 m"
"Kansas","4,041 ft1232 m","679 ft207 m","2,000 ft610 m"
"Kentucky","4,139 ft1262 m","257 ft78 m","750 ft230 m"
"Louisiana","535 ft163 m","−8 ft−2.4 m","100 ft30 m"
"Maine","5,270 ft1606.4 m","sea level","600 ft180 m"
"Maryland","3,370 ft1027 m","sea level","350 ft110 m"
"Massachusetts","3,489 ft1063 m","sea level","500 ft150 m"
"Michigan","1,979 ft603 m","571 ft174 m","900 ft270 m"
"Minnesota","2,302 ft702 m","601 ft183 m","1,200 ft370 m"
"Mississippi","807 ft246.0 m","sea level","300 ft90 m"
"Missouri","1,772 ft540 m","230 ft70 m","800 ft240 m"
"Montana","12,807 ft3903.5 m","1,800 ft549 m","3,400 ft1040 m"
"Nebraska","5,432 ft1656 m","840 ft256 m","2,600 ft790 m"
"Nevada","13,147 ft4007 m","479 ft146 m","5,500 ft1680 m"
"New Hampshire","6,285.8 ft1915.92 m","sea level","1,000 ft300 m"
"New Jersey","1,802 ft549 m","sea level","250 ft80 m"
"New Mexico","13,167 ft4013.3 m","2,842 ft866 m","5,700 ft1740 m"
"New York","5,343 ft1628.57 m","sea level","1,000 ft300 m"
"North Carolina","6,684 ft2037 m","sea level","700 ft210 m"
"North Dakota","3,506 ft1069 m","750 ft229 m","1,900 ft580 m"
"Ohio","1,548 ft472 m","455 ft139 m","850 ft260 m"
"Oklahoma","4,975 ft1516 m","289 ft88 m","1,300 ft400 m"
"Oregon","11,249 ft3428.8 m","sea level","3,300 ft1010 m"
"Pennsylvania","3,213 ft979 m","sea level","1,100 ft340 m"
"Rhode Island","811 ft247 m","sea level","200 ft60 m"
"South Carolina","3,554 ft1083 m","sea level","350 ft110 m"
"South Dakota","7,244 ft2208 m","966 ft294 m","2,200 ft670 m"
"Tennessee","6,643 ft2025 m","178 ft54 m","900 ft270 m"
"Texas","8,751 ft2667.4 m","sea level","1,700 ft520 m"
"Utah","13,534 ft4125 m","2,000 ft610 m","6,100 ft1860 m"
"Vermont","4,395.3 ft1339.69 m","95 ft29 m","1,000 ft300 m"
"Virginia","5,711 ft1740.6 m","sea level","950 ft290 m"
"Washington","14,400 ft4389 m","sea level","1,700 ft520 m"
"West Virginia","4,862 ft1482 m","240 ft73 m","1,500 ft460 m"
"Wisconsin","1,951 ft595 m","579 ft176 m","1,050 ft320 m"
"Wyoming","13,809 ft4209.1 m","3,101 ft945 m","6,700 ft2040 m"
